numAllocBlue,numAllocRed,cohesionMax,convergeBlue,convergeRed,weightBlue,weightRed,stayingPwHVT,yAlpha,yBeta,zAlpha,zBeta
7,1,3914,3617,1688,8,8,5,969,719,547,938
10,7,1539,4508,3766,3,5,8,719,922,766,485
9,4,9555,2578,3320,9,2,5,407,579,797,875
7,9,7328,4805,1094,4,3,3,126,984,906,625
9,5,2281,648,1391,2,3,6,610,485,63,844
6,9,2727,5102,1984,7,1,9,891,110,407,781
8,3,5547,797,2875,3,9,5,157,438,344,906
8,8,9258,3469,4063,9,7,1,251,313,17,641
7,1,648,8219,4359,6,4,2,797,298,844,391
10,7,5102,7773,500,3,9,4,672,1,672,32
6,1,9703,5547,2430,4,3,7,17,235,719,188
10,6,7031,9258,2133,1,4,8,313,376,532,251
6,3,3617,6586,4211,5,2,4,953,953,141,48
8,6,4508,8961,3023,10,0,1,516,532,251,298
6,4,7922,9555,4656,2,5,9,141,828,1,438
7,6,5695,7328,1836,10,10,6,454,813,360,110
9,5,4211,1688,6883,10,8,10,579,594,313,282
6,9,3023,3766,5992,5,8,8,360,735,110,1
8,5,5844,3320,7922,9,0,5,532,797,485,79
6,8,8664,1094,5695,2,4,3,813,875,48,422
8,3,4359,1391,9852,4,0,7,298,95,422,173
8,8,500,1984,5398,7,5,9,173,344,922,313
10,5,8070,2875,9703,1,7,2,563,329,563,266
6,10,8367,4063,7031,5,6,3,1000,63,703,204
7,3,1391,6141,8219,7,9,2,95,157,266,657
8,7,1984,10000,7773,2,6,4,376,454,32,860
9,2,7625,8070,5547,9,3,10,766,251,220,594
9,9,6438,8367,9258,3,1,7,735,360,376,984
9,4,1688,6289,6586,2,4,2,220,860,875,547
7,9,3766,7477,8961,10,3,6,63,781,610,672
7,2,7180,5844,9555,4,8,8,922,969,813,532
9,7,9406,8664,7328,6,9,7,657,610,828,766
6,6,5250,5250,5250,5,5,6,501,501,501,501
4,10,6586,6883,8813,2,2,6,32,282,454,63
1,4,8961,5992,6734,8,5,3,282,79,235,516
2,7,945,7922,7180,1,8,6,594,422,204,126
4,2,3172,5695,9406,6,7,8,875,17,95,376
2,6,8219,9852,9109,8,8,5,391,516,938,157
5,2,7773,5398,8516,3,9,2,110,891,594,220
3,8,4953,9703,7625,7,1,6,844,563,657,95
3,3,1242,7031,6438,1,3,10,750,688,984,360
4,10,9852,2281,6141,4,6,9,204,703,157,610
1,4,5398,2727,10000,7,1,7,329,1000,329,969
5,10,797,4953,8070,6,7,4,984,766,282,813
1,5,3469,1242,8367,9,6,3,688,625,469,750
5,8,6883,3914,6289,5,8,7,48,48,860,953
3,5,5992,1539,7477,0,10,10,485,469,750,703
5,7,2578,945,5844,8,5,2,860,173,1000,563
4,5,4805,3172,8664,0,0,5,547,188,641,891
2,6,6289,8813,3617,0,2,1,422,407,688,719
5,2,7477,6734,4508,5,2,3,641,266,891,1000
3,6,4656,7180,2578,1,10,6,469,204,516,922
5,3,1836,9406,4805,8,6,8,188,126,953,579
3,8,6141,9109,648,6,10,4,703,906,579,828
3,3,10000,8516,5102,3,5,2,828,657,79,688
1,6,2430,7625,797,9,3,9,438,672,438,735
5,1,2133,6438,3469,5,4,8,1,938,298,797
4,8,9109,4359,2281,3,1,9,906,844,735,344
3,4,8516,500,2727,8,4,7,625,547,969,141
2,9,2875,2430,4953,1,7,1,235,750,781,407
2,2,4063,2133,1242,7,9,4,266,641,625,17
2,7,8813,4211,3914,8,6,9,781,141,126,454
4,2,6734,3023,1539,0,7,5,938,220,391,329
4,9,3320,4656,945,6,2,3,79,32,188,469
2,4,1094,1836,3172,4,1,4,344,391,173,235
