numAllocBlue,numAllocRed,cohesionMax,convergeBlue,convergeRed,weightBlue,weightRed,stayingPwHVT,yAlpha,yBeta,zAlpha,zBeta,survBlue,survRed,BlueWon,DistanceCenter,DistanceUAV
1,1,500,500,500,0,0,1,1,1,1,1,22,27,0,799,5164
1,1,500,500,500,0,0,1,1,1,1,1,21,22,0,360,5239
1,1,500,500,500,0,0,1,1,1,1,1,20,32,0,415,5306
1,1,500,500,500,0,0,1,1,1,1,1,25,14,1,317,5296
1,1,500,500,500,0,0,1,1,1,1,1,18,20,0,1030,5212
1,1,500,500,500,0,0,1,1,1,1,1,16,32,0,497,5315
1,1,500,500,500,0,0,1,1,1,1,1,26,26,0,1078,5195
1,1,500,500,500,0,0,1,1,1,1,1,19,18,0,641,5267
1,1,500,500,500,0,0,1,1,1,1,1,26,16,1,644,5118
1,1,500,500,500,0,0,1,1,1,1,1,20,16,1,1000,5199
1,1,500,500,500,0,0,1,1,1,1,1,17,17,0,1151,4979
1,1,500,500,500,0,0,1,1,1,1,1,19,21,1,982,5134
1,1,500,500,500,0,0,1,1,1,1,1,17,23,0,235,5239
1,1,500,500,500,0,0,1,1,1,1,1,22,26,0,557,5277
1,1,500,500,500,0,0,1,1,1,1,1,23,15,1,512,5277
1,1,500,500,500,0,0,1,1,1,1,1,17,33,0,388,5306
1,1,500,500,500,0,0,1,1,1,1,1,20,18,0,1317,5099
1,1,500,500,500,0,0,1,1,1,1,1,26,20,1,487,5253
1,1,500,500,500,0,0,1,1,1,1,1,21,32,0,507,5267
1,1,500,500,500,0,0,1,1,1,1,1,24,28,0,484,5270
1,1,500,500,500,0,0,1,1,1,1,1,24,17,1,614,5321
1,1,500,500,500,0,0,1,1,1,1,1,15,34,0,848,5140
1,1,500,500,500,0,0,1,1,1,1,1,27,11,1,204,5293
1,1,500,500,500,0,0,1,1,1,1,1,23,27,0,1133,5097
1,1,500,500,500,0,0,1,1,1,1,1,29,16,1,1443,5026
1,1,500,500,500,0,0,1,1,1,1,1,18,15,1,2,5391
1,1,500,500,500,0,0,1,1,1,1,1,15,23,0,786,5243
1,1,500,500,500,0,0,1,1,1,1,1,25,30,0,1312,4947
1,1,500,500,500,0,0,1,1,1,1,1,20,34,0,1180,5148
1,1,500,500,500,0,0,1,1,1,1,1,22,20,0,466,5273
1,1,500,500,500,0,0,1,1,1,1,1,24,28,0,1126,5073
1,1,500,500,500,0,0,1,1,1,1,1,17,29,0,369,5169
1,1,500,500,500,0,0,1,1,1,1,1,27,20,1,746,5185
1,1,500,500,500,0,0,1,1,1,1,1,24,32,0,628,5184
1,1,500,500,500,0,0,1,1,1,1,1,22,24,0,447,5343
1,1,500,500,500,0,0,1,1,1,1,1,29,15,1,582,5321
1,1,500,500,500,0,0,1,1,1,1,1,16,25,0,644,5309
1,1,500,500,500,0,0,1,1,1,1,1,13,19,0,483,5318
1,1,500,500,500,0,0,1,1,1,1,1,22,24,0,618,5302
1,1,500,500,500,0,0,1,1,1,1,1,21,17,0,35,5386
1,1,500,500,500,0,0,1,1,1,1,1,23,24,1,381,5345
1,1,500,500,500,0,0,1,1,1,1,1,27,30,0,1251,5060
1,1,500,500,500,0,0,1,1,1,1,1,23,19,0,364,5325
1,1,500,500,500,0,0,1,1,1,1,1,24,25,1,1239,5059
1,1,500,500,500,0,0,1,1,1,1,1,26,31,0,100,5322
1,1,500,500,500,0,0,1,1,1,1,1,20,15,0,144,5298
1,1,500,500,500,0,0,1,1,1,1,1,24,20,0,742,5209
1,1,500,500,500,0,0,1,1,1,1,1,16,22,0,158,5305
1,1,500,500,500,0,0,1,1,1,1,1,22,34,0,560,5209
1,1,500,500,500,0,0,1,1,1,1,1,16,18,0,158,5383
1,1,500,500,500,0,0,1,1,1,1,1,23,36,0,179,5212
1,1,500,500,500,0,0,1,1,1,1,1,20,18,0,1142,5163
1,1,500,500,500,0,0,1,1,1,1,1,23,35,0,607,5324
1,1,500,500,500,0,0,1,1,1,1,1,32,17,1,128,5330
1,1,500,500,500,0,0,1,1,1,1,1,21,24,0,957,5171
1,1,500,500,500,0,0,1,1,1,1,1,13,28,0,815,5273
1,1,500,500,500,0,0,1,1,1,1,1,18,14,1,721,5243
1,1,500,500,500,0,0,1,1,1,1,1,20,29,0,514,5289
1,1,500,500,500,0,0,1,1,1,1,1,14,19,0,1186,5057
1,1,500,500,500,0,0,1,1,1,1,1,24,21,1,1003,5104
1,1,500,500,500,0,0,1,1,1,1,1,21,26,0,456,5347
1,1,500,500,500,0,0,1,1,1,1,1,21,18,0,1054,5157
1,1,500,500,500,0,0,1,1,1,1,1,19,16,0,780,5250
1,1,500,500,500,0,0,1,1,1,1,1,28,30,0,630,5239
1,1,500,500,500,0,0,1,1,1,1,1,25,25,0,220,5247
1,1,500,500,500,0,0,1,1,1,1,1,21,31,0,689,5252
1,1,500,500,500,0,0,1,1,1,1,1,25,26,0,299,5180
1,1,500,500,500,0,0,1,1,1,1,1,16,25,0,614,5338
1,1,500,500,500,0,0,1,1,1,1,1,18,30,0,1006,5142
1,1,500,500,500,0,0,1,1,1,1,1,28,27,1,398,5333
1,1,500,500,500,0,0,1,1,1,1,1,21,31,0,1016,5201
1,1,500,500,500,0,0,1,1,1,1,1,17,13,0,487,5322
1,1,500,500,500,0,0,1,1,1,1,1,25,23,0,1308,5082
